model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
E5_GAT_H384,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.014416225891729424,0.005646312735107271,0.015471296541816202
E5_GAT_H384,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.022556975717534965,0.0022300390454277697,0.008150202418431495
E5_GAT_H384,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.023337821644730722,0.011410112181137692,0.04304994868854259
E5_GAT_H384,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.0210307618584225,0.0069292905345642785,0.023989119032838607
E5_GAT_H384,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.007739826846470714,0.0034995870132901873,0.009262163173907368
E5_GAT_H384,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.006368517960599612,0.001295570826307831,0.006284691853463918
E5_GAT_H384,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.00996203475373759,0.004889643771159092,0.010661470901700729
E5_GAT_H384,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.016279873168297727,0.0008788072989945223,0.0031666914563014794
E5_GAT_H384,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05841635532662976,0.018877332173877458,0.09328708137445652
E5_GAT_H384,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.028637512548457447,0.007852158971219797,0.03198802284896374
